注文ID,注文日,区分,都道府県,商品カテゴリ,商品,SKU,数量,単価,金額,顧客区分,販売チャネル,決済方法,配送状況,担当者,税区分,クーポン,送料,注文時刻,備考
ORD-2026-0013,2026-09-01,東京店,東京都,文具,ノート,ST-201,2,550,1100,個人,店頭,銀行振込,準備中,鈴木,8%,WELCOME,0,09:00,ギフト包装
ORD-2026-0014,2026-09-02,大阪店,大阪府,生活雑貨,マグカップ,HM-301,4,1600,6400,法人,店頭,カード,配達済,田中,10%,,0,10:07,ギフト包装
ORD-2026-0015,2026-09-03,札幌店,北海道,食品,ドリップコーヒー,FD-101,2,1200,2400,個人,電話,銀行振込,配達済,田中,10%,AUTUMN,500,11:14,
ORD-2026-0016,2026-09-04,東京店,東京都,食品,ドリップコーヒー,FD-101,3,1200,3600,個人,EC,カード,発送済,鈴木,8%,AUTUMN,300,12:21,再注文
ORD-2026-0003,2026-08-03,札幌店,北海道,文具,ペンセット,ST-202,3,700,2100,個人,店頭,現金,準備中,佐藤,10%,WELCOME,300,11:14,再注文
ORD-2026-0017,2026-09-05,大阪店,大阪府,生活雑貨,タオル,HM-302,3,1100,3300,法人,電話,現金,準備中,佐藤,10%,,0,13:28,
ORD-2026-0018,2026-09-06,札幌店,北海道,食品,ドリップコーヒー,FD-101,2,1200,2400,法人,店頭,銀行振込,準備中,佐藤,10%,WELCOME,300,14:35,ギフト包装
ORD-2026-0019,2026-09-07,東京店,東京都,PC周辺機器,USBケーブル,PC-401,1,900,900,個人,電話,現金,発送済,鈴木,8%,AUTUMN,500,15:42,再注文
ORD-2026-0020,2026-09-08,大阪店,大阪府,生活雑貨,マグカップ,HM-301,4,1600,6400,個人,電話,銀行振込,発送済,佐藤,8%,,500,16:49,ギフト包装
ORD-2026-0021,2026-09-09,札幌店,北海道,食品,ドリップコーヒー,FD-101,1,1200,1200,法人,店頭,現金,配達済,鈴木,10%,,0,09:56,再注文
ORD-2026-0022,2026-09-10,東京店,東京都,食品,紅茶,FD-103,4,950,3800,法人,店頭,現金,準備中,田中,8%,,0,10:03,ギフト包装
ORD-2026-0009,2026-08-09,札幌店,北海道,文具,ノート,ST-201,4,550,2200,個人,EC,カード,準備中,鈴木,8%,AUTUMN,500,09:56,午前中希望
